Question Asked,Answer Given,Top Match,Answer Taught,Category,Question Type,Date Received, Date Responded,Response Time,Processed By
Just want to know my vehicle is it on giro,Car Parks - VPC - Problems,Top Match,Car Parks-Season Parking,,No Feedback,11/4/2019 11:23,11/12/2019 15:42,8,Angeline Ng Li Ling
Where can I find information on URA car park locations and parking charges,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/4/2019 11:23,11/12/2019 15:42,8,Angeline Ng Li Ling
car park J0099 had available parking lot do you know how can we contact the operator,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 11:27,11/12/2019 15:42,8,Angeline Ng Li Ling
what is the rate for heavy vehicle for six months,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 11:23,11/12/2019 15:41,8,Angeline Ng Li Ling
refund season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Terminate,,No Feedback,11/4/2019 11:28,11/12/2019 15:41,8,Angeline Ng Li Ling
check offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/4/2019 11:56,11/12/2019 15:41,8,Angeline Ng Li Ling
Hi can I know Malaysia car can apply on season parking near by my work site Tagore Drive T0068 Mt car have IU machine also,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 12:00,11/12/2019 15:41,8,Angeline Ng Li Ling
Can i still attach the documentary proof after appeal is submitted,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,Incorrect,11/4/2019 12:26,11/12/2019 15:40,8,Angeline Ng Li Ling
request removal of heavy vehicle parking lots,Car Parks-Season Parking-Apply,Top Match,Rephrase question,,No Feedback,11/4/2019 12:18,11/12/2019 15:40,8,Angeline Ng Li Ling
Why am I charge for Vehicle Parking Certificate,Car Parks - VPC - Problems,Top Match,Car Parks-VPC,,No Feedback,11/4/2019 13:08,11/12/2019 15:38,8,Angeline Ng Li Ling
i would like to check on my parking offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/4/2019 12:59,11/12/2019 15:37,8,Angeline Ng Li Ling
i need ur email address for my carpark fine appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/4/2019 13:02,11/12/2019 15:37,8,Angeline Ng Li Ling
how to appeal for fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/4/2019 13:09,11/12/2019 15:36,8,Angeline Ng Li Ling
how to print VPC,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,11/4/2019 13:13,11/12/2019 15:36,8,Angeline Ng Li Ling
help,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 13:13,11/12/2019 15:36,8,Angeline Ng Li Ling
VPC RECEIPT,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,11/4/2019 13:53,11/12/2019 15:36,8,Angeline Ng Li Ling
URA parking lot to carry out work,Car Parks-Use of Parking lot for non-parking purpose,Top Match,Car Parks-Use of Parking lot for non-parking purpose,,No Feedback,11/4/2019 13:59,11/12/2019 15:36,8,Angeline Ng Li Ling
appeal,Catch all,Top Match,Catch all,,No Feedback,11/4/2019 14:27,11/12/2019 15:36,8,Angeline Ng Li Ling
appeal for parking offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/4/2019 14:28,11/12/2019 15:36,8,Angeline Ng Li Ling
how to apply season parking from URA,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 14:44,11/12/2019 15:36,8,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 14:48,11/12/2019 15:36,8,Angeline Ng Li Ling
I want to buy season carpark at J0122 Jln Kayu for my mini bus How do i go about it,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 14:52,11/12/2019 15:36,8,Angeline Ng Li Ling
Hi is there a way i can purchase season parking for an area so that i can park carpark of that area,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 14:53,11/12/2019 15:36,8,Angeline Ng Li Ling
My mini bus can park in normal parking space Can I apply for car season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 14:54,11/12/2019 15:36,8,Angeline Ng Li Ling
where to get season parking for whole kranji area,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 15:00,11/12/2019 15:36,8,Angeline Ng Li Ling
how can i purchase season parking via URA,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 15:02,11/12/2019 15:36,8,Angeline Ng Li Ling
i would like to know how much is Season Parking for heavy vehicle per month,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 15:06,11/12/2019 15:36,8,Angeline Ng Li Ling
what is the email address to write an appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/4/2019 15:11,11/12/2019 15:36,8,Angeline Ng Li Ling
I am replying to my letter of appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/4/2019 15:13,11/12/2019 15:36,8,Angeline Ng Li Ling
free night parking area along geylang road,(STPC) Where can I find information on URA car park locations and parking charges?,,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/4/2019 15:18,11/12/2019 15:36,8,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 15:46,11/12/2019 15:35,8,Angeline Ng Li Ling
Why did you receive notice of parking offence machine and online check show that there is no fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,Car Parks-Parking Offences,,No Feedback,11/4/2019 15:52,11/12/2019 15:35,8,Angeline Ng Li Ling
hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 15:55,11/12/2019 15:34,8,Angeline Ng Li Ling
i receive a offences but i am not agree how i can complain,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/4/2019 17:17,11/12/2019 15:33,8,Angeline Ng Li Ling
carparl,Catch all,Top Match,Contextual Question,,No Feedback,11/4/2019 19:42,11/12/2019 15:33,8,Angeline Ng Li Ling
I have a question regards to URA Season Parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 16:44,11/12/2019 15:33,8,Angeline Ng Li Ling
I have not even type the location why theres a reply Season parking scheme is not available at car parks not shown in this service,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 16:47,11/12/2019 15:33,8,Angeline Ng Li Ling
hi good afternoon,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 16:40,11/12/2019 15:33,8,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 16:44,11/12/2019 15:33,8,Angeline Ng Li Ling
hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/5/2019 15:57,11/12/2019 15:28,7,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/5/2019 11:31,11/12/2019 15:28,7,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/5/2019 11:41,11/12/2019 15:28,7,Angeline Ng Li Ling
Hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/5/2019 12:42,11/12/2019 15:28,7,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/5/2019 13:06,11/12/2019 15:28,7,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/5/2019 13:35,11/12/2019 15:28,7,Angeline Ng Li Ling
Hihi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/5/2019 16:18,11/12/2019 15:28,7,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/5/2019 20:03,11/12/2019 15:28,7,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/6/2019 1:01,11/12/2019 15:28,6,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/6/2019 10:58,11/12/2019 15:27,6,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/6/2019 11:28,11/12/2019 15:27,6,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/6/2019 13:26,11/12/2019 15:27,6,Angeline Ng Li Ling
hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/6/2019 15:03,11/12/2019 15:27,6,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/6/2019 16:57,11/12/2019 15:27,6,Angeline Ng Li Ling
Hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/7/2019 1:00,11/12/2019 15:26,5,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/7/2019 14:23,11/12/2019 15:26,5,Angeline Ng Li Ling
hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/7/2019 15:56,11/12/2019 15:26,5,Angeline Ng Li Ling
H Jasmine,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 10:55,11/12/2019 15:26,4,Angeline Ng Li Ling
good morning,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 10:55,11/12/2019 15:26,4,Angeline Ng Li Ling
hi what mobile app used in order to have discount on my vehicle fines,General Information about URA,,Contextual Question,,No Feedback,11/8/2019 12:55,11/12/2019 15:25,4,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 11:23,11/12/2019 15:25,4,Angeline Ng Li Ling
Hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 12:26,11/12/2019 15:25,4,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 14:51,11/12/2019 15:25,4,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 17:02,11/12/2019 15:24,4,Angeline Ng Li Ling
HI,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 10:32,11/12/2019 15:24,1,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 10:44,11/12/2019 15:24,1,Angeline Ng Li Ling
HI,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 11:03,11/12/2019 15:24,1,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 11:24,11/12/2019 15:24,1,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 11:35,11/12/2019 15:24,1,Angeline Ng Li Ling
hi Good aftenoon,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 14:01,11/12/2019 15:24,1,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 12:12,11/12/2019 15:23,1,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 12:31,11/12/2019 15:23,1,Angeline Ng Li Ling
HI,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 14:15,11/12/2019 15:23,1,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 14:21,11/12/2019 15:23,1,Angeline Ng Li Ling
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 15:12,11/12/2019 15:23,1,Angeline Ng Li Ling
Hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 15:42,11/12/2019 15:23,1,Angeline Ng Li Ling
